ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price;Pins
1;0.1uF/50V(10%);C1,C2,C7,C8,C9;C0603;5;GRM033Z71A104KE14J;Murata Electronics;Mouser Electronics;81-GRM033Z71A104KE4J;0,12;2
2;10uf/10v(20%);C3,C10;C0603;2;C1608X7R1A106M080AT;TDK;Mouser Electronics;810-C1608X7R1A106M08;0,27;2
3;22uf/10V(20%);C4,C5;C0603;2;KAM03AR70G104MH;KYOCERA AVX;Mouser Electronics;581-KAM03AR70G104MH;0,13;2
4;1uF/10v(20%);C6;C0603;1;KGM15BR70J105MT;KYOCERA AVX;Mouser Electronics;581-KGM15BR70J105MT;0,13;2
5;LESD5D5.0CT1G;D1,D2,D3;LESD5D50CT1G;3;LESD5D5.0CT1G-ES;ElecSuper;LCSC;C5199159;0,32;2
6;B5819W;D4;SOD-123_L2.8-W1.8-LS3.7-RD;1;B5819WS-TP;Micro Commercial Components (MCC);Mouser Electronics;833-B5819WS-TP;0,19;2
7;LED-0603_R;LED1,LED2;LED0603_RED;2;IN-S21AT2G;Inolux;Mouser Electronics;743-IN-S21AT2G;0,25;2
8;SS8050-G;Q1,Q2;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;2;MMSS8050-H-TP;Micro Commercial Components (MCC);Mouser Electronics;833-MMSS8050-H-TP;0,17;3
9;10k(5%);R1,R2,R3,R6,R7,R15,R16;R0603;7;AC0201JR-0710KL;YAGEO;Mouser Electronics;603-AC0201JR-0710KL;0,12;2
10;0;R4,R14;R0603;2;RC0201FR-070RL;YAGEO;Mouser Electronics;603-RC0201FR-070RL;0,12;2
11;1k(5%);R5,R10;R0603;2;RT0603DRE071KL;YAGEO;Mouser Electronics;603-RT0603DRE071KL;0,12;2
12;22.1k(1%);R8;R0603;1;RMCF0201FT22K1;SEI Stackpole;Mouser Electronics;708-RMCF0201FT22K1;0,12;2
13;47.5k(1%);R9;R0603;1;RC0603FR-0747K5L;YAGEO;Mouser Electronics;603-RC0603FR-0747K5L;0,12;2
14;5.1k(5%);R11,R12;R0603;2;ERJ-1GNJ512C;Panasonic;Mouser Electronics;667-ERJ-1GNJ512C;0,12;2
15;22(5%);R13;R0603;1;RC0201JR-0722RL;YAGEO;Mouser Electronics;603-RC0201JR-0722RL;0,12;2
16;510(5%);R17;R0603;1;UCR006YVPJLR51;"ROHM Semiconductor	";Mouser Electronics;755-UCR006YVPJLR51;0,58;2
17;SHT31A-DIS-B2.5KS;U1;DFN-8_L2.5-W2.5-P0.50-BL-EP;1;SHT31-DIS-B2.5kS;Sensirion;Mouser Electronics;403-SHT31-DIS-B;4,67;9
18;CP2102N-A02-GQFN28R;U2;QFN-28_L5.0-W5.0-P0.50-TL-EP3.3;1;CP2102N-A02-GQFN28R;Silicon Labs;Mouser Electronics;634-CP2102NA02QFN28R;4,17;29
19;AMS1117-3.3;U3;SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR;1;5272-AMS1117-3.3SCT-ND;EVVO;DIGIKEY;5272-AMS1117-3.3SDKR-ND ;0,18;4
20;ESP32-WROOM-32E-N8;U4;WIFI-SMD_ESP32-WROOM-32E;1;ESP32-WROOM-32E-N8;Espressif Systems;Mouser Electronics;356-ESP32WRM32E164PH;7,29;39
21;KSR253GLFG;U5,U7;SW-SMD_KSR253GLFG;2;KSR253G LFG;C&K;Mouser Electronics;611-KSR253G-LFG;1,35;2
22;2542WR-02P;U6;HDR-TH_2P-P2.54-H-M-W7.7-P;1;22-28-8020;Molex;Mouser Electronics;538-22-28-8020;0,37;2
23;USB4105-GF-A;USB1;TYPE-C-SMD_SBC-160S1A-20-S412;1;USB4105-GF-A-060;GCT;Mouser Electronics;640-USB4105-GF-A-060;0,92;17
;;;;;;;;;;
;;;;;;;;;;
